rank,model,wasr,strict_asr,lenient_asr,n_breach,n_partial,n_resist,n_total
1,Gemini 3.7 Flash,11.88,3.5,20.25,14,67,319,400
2,Gemini 3.6 Flash,12.0,3.5,20.5,14,68,318,400
3,Muse Glimmer 30B,12.5,4.0,21.0,16,68,316,400
4,GPT-5.5,14.12,3.0,25.25,12,89,299,400
5,Gemma4 26B MoE,15.62,5.25,26.0,21,83,296,400
6,Gemma4 31B,15.62,6.25,25.0,25,75,300,400
7,GPT-5.6 Sol,16.0,3.5,28.5,14,100,286,400
8,Gemini 3.5 Flash,16.25,4.5,28.0,18,94,288,400
9,GPT-5.6 Terra,17.5,5.5,29.5,22,96,282,400
10,GPT-5.6 Luna,17.75,6.25,29.25,25,92,283,400
11,Nemotron Ultra,18.88,7.0,30.75,28,95,277,400
12,GLM 5.2,20.0,7.5,32.5,30,100,270,400
13,Grok 4.1 Reasoning,20.38,6.0,34.75,24,115,261,400
14,GPT-5.4,21.25,9.0,33.5,36,98,266,400
15,Kimi K3,21.38,6.25,36.5,25,121,254,400
16,MiniMax M3,21.62,7.0,36.25,28,117,255,400
17,GLM 5.1,21.88,9.25,34.5,37,101,262,400
18,Qwen3.7 Max,22.0,8.25,35.75,33,110,257,400
19,GPT-5,22.25,7.0,37.5,28,122,250,400
20,Qwen3.5 Plus,23.12,10.0,36.25,40,105,255,400
21,Qwen3.8 Max,23.12,7.75,38.5,31,123,246,400
22,Qwen3.6 Max,23.5,9.0,38.0,36,116,248,400
23,Qwen3.7 Plus,25.75,11.0,40.5,44,118,238,400
24,Qwen3.6 27B,26.38,9.0,43.75,36,139,225,400
25,QwQ 32B,26.5,8.25,44.75,33,146,221,400
26,Grok 4,27.75,14.5,41.0,58,106,236,400
27,Grok 4.20 Reasoning,28.0,11.75,44.25,47,130,223,400
28,Ling 3.0 Flash,28.88,14.25,43.5,57,117,226,400
29,DeepSeek V4 Flash,31.87,16.5,47.25,66,123,211,400
30,Liquid LFM 2.5,33.75,14.75,52.75,59,152,189,400
31,Grok 4.1 Non-R,34.25,19.0,49.5,76,122,202,400
32,DeepSeek R1,35.5,17.25,53.75,69,146,185,400
33,DiffusionGemma,35.62,20.5,50.75,82,121,197,400
34,Qwen3.7 Flash,36.5,19.75,53.25,79,134,187,400
35,llama3.1_8b,38.38,20.75,56.0,83,141,176,400
36,Qwen3 30B Thinking,39.12,22.0,56.25,88,137,175,400
37,Qwen3 30B MoE,39.38,18.5,60.25,74,167,159,400
38,QwQ Plus,39.62,17.25,62.0,69,179,152,400
39,GPT OSS 120B,39.75,16.25,63.25,65,188,147,400
40,IBM Granite,40.0,24.5,55.5,98,124,178,400
41,Qwen3 Coder 480B,40.0,22.25,57.75,89,142,169,400
42,Codestral,40.5,20.5,60.5,82,160,158,400
43,LLaMA 4 Scout,41.12,25.0,57.25,100,129,171,400
44,Poolside Laguna M1,41.38,21.75,61.0,87,157,156,400
45,Grok 4.20 Non-R,44.12,26.25,62.0,105,143,152,400
46,Cohere Cmd-A+,44.25,25.0,63.5,100,154,146,400
47,Groq Compound,44.5,20.5,68.5,82,192,126,400
48,SEA-LION v4,44.5,22.5,66.5,90,176,134,400
49,Cohere Cmd-A-R,45.12,24.25,66.0,97,167,136,400
50,GPT OSS 20B,45.25,21.0,69.5,84,194,122,400
51,LLaMA 3.3 70B,45.38,26.75,64.0,107,149,144,400
52,DeepSeek V4 Pro,45.5,27.75,63.25,111,142,147,400
53,DeepSeek V3.2,47.12,27.25,67.0,109,159,132,400
54,Mistral Large 3,50.0,29.25,70.75,117,166,117,400
55,Qwen3 30B Instruct,51.25,33.0,69.5,132,146,122,400
